Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
;CIE 03257;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03258;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03259;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03260;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03261;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03262;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03263;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03264;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03265;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03266;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03267;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03268;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03269;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03270;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
TM 153929;CIE 03271;ET1 OA 2.0012;ET2 OA 2.0012;TLE 0767;;;;;;;;;;;Considered spurious (see CIE).;TLE Rix & Meiser;
;CIE 03272;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03273;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03274;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03275;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03276;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03277;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03278;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03279;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03280;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03281;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03282;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03283;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03284;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03285;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03286;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03287;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
TM 151843;CIE 03288;ET1 Cl 1.2672;ET2 Cl 1.2672;;;;;;;;;;;;Considered spurious (see CIE).;;
TM 151673;CIE 03289;ET1 Cl 1.2502;ET2 Cl 1.2502;;;;;;;;;;;;Considered spurious (see CIE).;;
;CIE 03290;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03291;;;;;;;;;;;;;;Considered a forgery based on CIE 00641 (see CIE).;;
;CIE 03292;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03293;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03294;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03295;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03296;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03297;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03298;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
;CIE 03299;;;;;;;;;;;;;;Considered spurious or forged (see CIE).;;
TM 149813;CIE 03300;ET1 Cl 1.0641;ET2 Cl 1.0641;;;;;;;;;CII Suppl. III.0272;CII App. 0170;;"Considered suspect (see ET1; ET2).";;
TM 150489;CIE 03301;ET1 Cl 1.1317;ET2 Cl 1.1317;;;;;;;;;CII Suppl. III.0159;;;;;
TM 150471;CIE 03302;ET1 Cl 1.1299;ET2 Cl 1.1299;;;;;;;;;;;;;;
TM 151538;CIE 03303;ET1 Cl 1.2367;ET2 Cl 1.2367;;;;;;;;;CII Suppl. III.0165;;;"Considered suspect (see ET1; ET2).";;
TM 150760;CIE 03304;ET1 Cl 1.1588;ET2 Cl 1.1588;;;;;;;;;;;;"Considered suspect (see ET1; ET2).";;
TM 151973;CIE 03305;ET1 Cl 4.0004;ET2 Cl 4.0004;;;;;;;;CII 0844;;;;;;
TM 151972;CIE 03306;ET1 Cl 4.0003;ET2 Cl 4.0003;TLE 0555;;;;;;;;;;;;;
;CIE 03307;;;;;;;;;;;;CII App. 0739 a;;Fragmentary.;;
;CIE 03308;;;;;;;;;;;;CII App. 0739 i;;Fragmentary.;;
;CIE 03309;;;;;;;;;;;;;;Fragmentary.;;
;CIE 03310;;;;;;;;;;;;;;Fragmentary.;;
;CIE 03311;;;;;;;;;;;;;;Fragmentary.;;
;CIE 03312;;;;;;;;;;;;CII App. 0739 c;;Fragmentary.;;
;CIE 03313;;;;;;;;;;;;CII App. 0739 b;;Fragmentary.;;
;CIE 03314;;;;;;;;;;;;;;Fragmentary.;;
;CIE 03315;;;;;;;;;;;;;;Fragmentary.;;
;CIE 03316;;;;;;;;;;;;;;Fragmentary.;;
;CIE 03317;;;;;;;;;;;;CII App. 0739 d;;Fragmentary.;;
;CIE 03318;;;;;;;;;;;;CII App. 0739 g;;Fragmentary.;;
;CIE 03319;;;;;;;;;;;;;;Fragmentary.;;
;CIE 03320;;;;;;;;;;;;CII App. 0739 h;;Fragmentary.;;
;CIE 03321;;;;;;;;;;;CII Suppl. I.0361 bis;CII App. 0739 f;;Fragmentary.;;
;CIE 03322;;;;;;;;;;;;CII App. 0739 e;;Fragmentary.;;
;CIE 03323;;;;;;;;;;;;;;Fragmentary.;;
TM 153363;CIE 03324;ET1 Pe 8.0010;ET2 Pe 8.0010;TLE 0569;;;;;;;;CII Suppl. II.0090;;;;;
TM 145505;CIE 03325;ET1 Pe 1.0001;ET2 Pe 1.0001;;;;;;;;CII 1890;;;;;;
TM 152060;CIE 03326;ET1 Pe 1.0021;ET2 Pe 1.0021;TLE 0579;;;;;;;CII 1899;;;;;;
TM 152046;CIE 03327;ET1 Pe 1.0007;ET2 Pe 1.0007;;;;;;;CIL XI.2027 sub;;CII Suppl. I.0294;;Multiple references. Common denominator: CIL XI. (2);;;
TM 152047;CIE 03328;ET1 Pe 1.0008;ET2 Pe 1.0008;;;;;;;CIL XI.2027 sub;;CII Suppl. I.0300;;Multiple references. Common denominator: CIL XI. (2);;;
TM 504728;CIE 03329;;;;;;;;;CIL XI.2027;;CII Suppl. I.0295;;;;;
TM 504776;CIE 03330;;;;;;;;;CIL XI.2075;;;;;;;
TM 504778;CIE 03331;;;;;CIL I.1364;;;;CIL XI.2076;;;;;;;
TM 504779;CIE 03332;;;;;CIL I.1385;;;;CIL XI.2077;;;;;;;
TM 152048;CIE 03333;ET1 Pe 1.0009;ET2 Pe 1.0009;;;;;;;;CII 1142 bis a;;;;;;
TM 152049;CIE 03334;ET1 Pe 1.0010;ET2 Pe 1.0010;;;;;;;;CII 1142 bis b;;;;;;
TM 152050;CIE 03335;ET1 Pe 1.0011;ET2 Pe 1.0011;;;;;;;;CII 1142 bis c;;;;;;
TM 152051;CIE 03336;ET1 Pe 1.0012;ET2 Pe 1.0012;;;;;;;;CII 1142 bis d;;;;;;
TM 504767;CIE 03337;;;;;CIL I.1379;;;;CIL XI.2066;CII XXXIII bis;;;;CII reference erroneously given in CIL XI as “CII 0030 bis”. ;;
TM 509973;CIE 03338 a;;;;;;;;;CIL XI.7102 a;;;;;;;
TM 509974 ;CIE 03338 b;;;;;;;;;CIL XI.7102 b;;;;;;;
TM 509975;CIE 03339;;;;;;;;;CIL XI.7103;;;;;;;
TM 509976;CIE 03340;;;;;;;;;CIL XI.7104;;;;;;;
TM 509977;CIE 03341;;;;;;;;;CIL XI.7105;;;;;;;
TM 509978;CIE 03342;;;;;;;;;CIL XI.7106;;;;;;;
TM 509979;CIE 03343;;;;;;;;;CIL XI.7107;;;;;;;
TM 504715;CIE 03344;;;;;;;;;CIL XI.2014;;;;;;;v 1.0.1: added Trismegistos reference.
TM 504714;CIE 03345;;;;;;;;;CIL XI.2013;;CII Suppl. I.0362;;;;;
TM 152054;CIE 03346;ET1 Pe 1.0015;ET2 Pe 1.0015;;;;;;;CIL XI.2011;CII 1588;;;;;;
TM 504713;CIE 03347;;;;;;;;;CIL XI.2012;;CII Suppl. I.0368;;;;;
TM 504716;CIE 03348;;;;;;;;;CIL XI.2015;;;;;;;
TM 504717;CIE 03349;;;;;;;;;CIL XI.2016;;;;Multiple references. Common denominator: CIE. (2);;;
TM 504781;CIE 03349;;;;;;;;;CIL XI.2079;;;;Multiple references. Common denominator: CIE. (2);;;
TM 152055;CIE 03350;ET1 Pe 1.0016;ET2 Pe 1.0016;;;;;;;;CII 1808;;;;;;
TM 152056;CIE 03351;ET1 Pe 1.0017;ET2 Pe 1.0017;;;;;;;;CII 1810;;;;;;
TM 152057;CIE 03352;ET1 Pe 1.0018;ET2 Pe 1.0018;;;;;;;;CII 1809;;;;;;
TM 152058;CIE 03353;ET1 Pe 1.0019;ET2 Pe 1.0019;;;;;;;;CII 1623;;;;Due to a typographical error CIE 03353 is given the number 03354 (i.e. the number 03354 occurs twice). The subtitle and the order of the inscriptions makes it clear which is which. ;;
TM 152059;CIE 03354;ET1 Pe 1.0020;ET2 Pe 1.0020;;;;;;;;CII 1709;;;;;;
TM 152061;CIE 03355;ET1 Pe 1.0022;ET2 Pe 1.0022;TLE 0600;;;;;;;;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. TLE. (2);;;
TM 504782;CIE 03356;;;;;;;;;CIL XI.2079a;;;;;;;
TM 152677;CIE 03357;ET1 Pe 1.0638;ET2 Pe 1.0638;;;;;;;;CII 1381;;;;;;
TM 152678;CIE 03358;ET1 Pe 1.0639;ET2 Pe 1.0639;;;;;;;;CII 1382;CII Suppl. I.0340;;;;;
;CIE 03359 a;;;;;;;;;;;;;;Considered a forgery (see CIE).;;
;CIE 03359 b;;;;;;;;;;;;;;Considered a forgery (see CIE).;;
TM 152679;CIE 03360;ET1 Pe 1.0640;ET2 Pe 1.0640;;;;;;;;CII 1383;;;;;;
TM 152680;CIE 03361;ET1 Pe 1.0641;ET2 Pe 1.0641;;;;;;;;CII 1384;;;;;;
TM 152681;CIE 03362;ET1 Pe 1.0642;ET2 Pe 1.0642;;;;;;;;CII 1848;;;;;;
TM 152682;CIE 03363;ET1 Pe 1.0643;ET2 Pe 1.0643;;;;;;;;CII 1656;;;;;;
TM 153107;CIE 03364;ET1 Pe 1.1068;ET2 Pe 1.1068;;;;;;;;;;;;;;
TM 153108;CIE 03365;ET1 Pe 1.1069;ET2 Pe 1.1069;;;;;;;;CII 1993;;;;;;
TM 153110;CIE 03366;ET1 Pe 1.1071;ET2 Pe 1.1071;TLE 0592;;;;;;;;CII Suppl. I.0329;;;;;
TM 153112;CIE 03367;ET1 Pe 1.1073;ET2 Pe 1.1073;;;;;;;;CII 2001;CII Suppl. I.0323;;;;;
TM 153113;CIE 03368;ET1 Pe 1.1074;ET2 Pe 1.1074;;;;;;;;;CII Suppl. I.0322;;;;;
TM 153111;CIE 03369;ET1 Pe 1.1072;ET2 Pe 1.1072;;;;;;;;CII 1880 bis;;;;;;
TM 152683;CIE 03370;ET1 Pe 1.0644;ET2 Pe 1.0644;;;;;;;;CII 1721;;;;;;
TM 152684;CIE 03371;ET1 Pe 1.0645;ET2 Pe 1.0645;;;;;;;;;CII Suppl. I.0349;;;;;
TM 504660;CIE 03372;;;;;CIL I.1391;;;;CIL XI.1959;CII 2023;;;;;;v 1.0.3: added CII reference. 
TM 504661;CIE 03373;;;;;CIL I.1375;;;;CIL XI.1960;CII 2017;;;;;;
TM 504662;CIE 03374;;;;;CIL I.1389;;;;CIL XI.1961;CII 2022;;;;;;
TM 504663;CIE 03375;;;;;CIL I.1390;;;;CIL XI.1962;CII 2024;;;;;;
TM 152685;CIE 03376;ET1 Pe 1.0646;ET2 Pe 1.0646;;;;;;;;CII 1604;;;;;;
TM 152686;CIE 03377;ET1 Pe 1.0647;ET2 Pe 1.0647;;;;;;;;CII 1654;;;;;;
TM 152687;CIE 03378;ET1 Pe 1.0648;ET2 Pe 1.0648;;;;;;;;CII 1547;;;;;;
TM 152688;CIE 03379;ET1 Pe 1.0649;ET2 Pe 1.0649;TLE 0576;;;;;;;CII 1935;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. TLE. (2);;;
TM 152688;CIE 03379;ET1 Pe 1.0649;ET2 Pe 1.0649;TLE 0576;;;;;;;CII 1988;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. TLE. (2);;;
TM 504657;CIE 03380;;;;;;;;;CIL XI.1956;;;;;;;
TM 152689;CIE 03381;ET1 Pe 1.0650;ET2 Pe 1.0650;;;;;;;;CII 1823;;;;;;
TM 152690;CIE 03382;ET1 Pe 1.0651;ET2 Pe 1.0651;;;;;;;;CII 1635;;;Multiple references. Common denominator: CIE. (2);;;
TM 152691;CIE 03382;ET1 Pe 1.0652;ET2 Pe 1.0652;;;;;;;;;CII Suppl. I.0304;;Multiple references. Common denominator: CIE. (2);;;
TM 504655;CIE 03383;;;;;;;;;CIL XI.1954;;;;;;;
TM 504656;CIE 03384;;;;;;;;;CIL XI.1955;;;;;;;
TM 152998;CIE 03385;ET1 Pe 1.0959;ET2 Pe 1.0959;;;;;;;;;;;;;;
TM 152999;CIE 03386;ET1 Pe 1.0960;ET2 Pe 1.0960;;;;;;;;;;;;;;
TM 153225;CIE 03387;ET1 Pe 1.1186;ET2 Pe 1.1186;;;;;;;;;;;;;;
TM 153205;CIE 03388;ET1 Pe 1.1166;ET2 Pe 1.1166;;;;;;;;;;;;;;
TM 153008;CIE 03389;ET1 Pe 1.0969;ET2 Pe 1.0969;;;;;;;;CII 1632;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 153008;CIE 03389;ET1 Pe 1.0969;ET2 Pe 1.0969;;;;;;;;CII 1633;;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. (2);;;
TM 153007;CIE 03390;ET1 Pe 1.0968;ET2 Pe 1.0968;;;;;;;;CII 1631;;;;;;
TM 152674;CIE 03391;ET1 Pe 1.0635;ET2 Pe 1.0635;;;;;;;;;;;;;;
TM 152675;CIE 03392;ET1 Pe 1.0636;ET2 Pe 1.0636;;;;;;;;;;;;;;
TM 152676;CIE 03393;ET1 Pe 1.0637;ET2 Pe 1.0637;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. ET1. ET2. (2);;;
TM 152656;CIE 03394;ET1 Pe 1.0617;ET2 Pe 1.0617;;;;;;;;CII 1521;;;;;;
TM 152657;CIE 03395;ET1 Pe 1.0618;ET2 Pe 1.0618;;;;;;;;CII 1523;;;;;;
TM 152658;CIE 03396;ET1 Pe 1.0619;ET2 Pe 1.0619;;;;;;;;CII 1522;;;;;;
TM 152659;CIE 03397;ET1 Pe 1.0620;ET2 Pe 1.0620;;;;;;;;CII 1531;;;;;;
;CIE 03398;;;;;;;;;;CII 1531 sub;;;Multiple references. Common denominator: CIE. (2);Considered spurious (see CIE).;;
;CIE 03398;;;;;;;;;;CII 1628;;;Multiple references. Common denominator: CIE. (2);Considered spurious (see CIE).;;
TM 152660;CIE 03399;ET1 Pe 1.0621;ET2 Pe 1.0621;;;;;;;;CII 1530;;;;;;
TM 152746;CIE 03400;ET1 Pe 1.0707;ET2 Pe 1.0707;;;;;;;;CII 1578;;;;;;
TM 153164;CIE 03401;ET1 Pe 1.1125;ET2 Pe 1.1125;;;;;;;;;CII Suppl. I.0312;;;;;
TM 153425;CIE 03402;ET1 Co 1.0036;ET2 Co 1.0036;;;;;;;;;CII Suppl. I.0277;;;;;
TM 153004;CIE 03403;ET1 Pe 1.0965;ET2 Pe 1.0965;;;;;;;;CII 1973;;;;;;
TM 153115;CIE 03404;ET1 Pe 1.1076;ET2 Pe 1.1076;;;;;;;;CII 1603;;;;;;
TM 153221;CIE 03405;ET1 Pe 1.1182;ET2 Pe 1.1182;;;;;;;;CII 1767;;;;;;
TM 153037;CIE 03406;ET1 Pe 1.0998;ET2 Pe 1.0998;;;;;;;;;CII Suppl. I.0328;;;;;
TM 153038;CIE 03407;ET1 Pe 1.0999;ET2 Pe 1.0999;TLE 0604;;;;;;;CII 1647;;;;;;
TM 152661;CIE 03408;ET1 Pe 1.0622;ET2 Pe 1.0622;;;;;;;;CII 1528;;CII App. 0678;;;;
TM 152662;CIE 03409;ET1 Pe 1.0623;ET2 Pe 1.0623;;;;;;;;CII 1529;;;;;;
TM 152663;CIE 03410;ET1 Pe 1.0624;ET2 Pe 1.0624;;;;;;;;CII 1524;;;;;;
TM 152664;CIE 03411;ET1 Pe 1.0625;ET2 Pe 1.0625;;;;;;;;CII 1527;;;;;;
TM 152665;CIE 03412;ET1 Pe 1.0626;ET2 Pe 1.0626;TLE 0581;;;;;;;CII 1526;;;;;;
TM 152666;CIE 03413;ET1 Pe 1.0627;ET2 Pe 1.0627;;;;;;;;CII 1525;;;;;;
TM 152565;CIE 03414;ET1 Pe 1.0526;ET2 Pe 1.0526;;;;;;;;CII 1533;;;;;;
TM 152667;CIE 03415;ET1 Pe 1.0628;ET2 Pe 1.0628;TLE 0596;;;;;;;CII 1532;;;;;;
TM 152668;CIE 03416;ET1 Pe 1.0629;ET2 Pe 1.0629;;;;;;;;CII 1534;CII Suppl. I.0320;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. CII Suppl. (2);;;
TM 152668;CIE 03416;ET1 Pe 1.0629;ET2 Pe 1.0629;;;;;;;;CII 1907;CII Suppl. I.0320;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. CII Suppl. (2);;;
TM 152669;CIE 03417;ET1 Pe 1.0630;ET2 Pe 1.0630;;;;;;;;CII 1778;;;;;;
TM 152670;CIE 03418;ET1 Pe 1.0631;ET2 Pe 1.0631;TLE 0594;;;;;;;CII 1643;;;;;;
TM 153250;CIE 03419;ET1 Pe 1.1211;ET2 Pe 1.1211;;;;;;;;;;;;;;
TM 153251;CIE 03420;ET1 Pe 1.1212;ET2 Pe 1.1212;;;;;;;;;;;;;;
TM 153063;CIE 03421;ET1 Pe 1.1024;ET2 Pe 1.1024;;;;;;;;CII 1833;;;;;;
TM 153064;CIE 03422;ET1 Pe 1.1025;ET2 Pe 1.1025;;;;;;;;CII 1776;;;;;;
TM 153066;CIE 03423;ET1 Pe 1.1027;ET2 Pe 1.1027;;;;;;;;CII 1836;;;;;;
TM 153065;CIE 03424;ET1 Pe 1.1026;ET2 Pe 1.1026;;;;;;;;;CII Suppl. I.0314;;;;;
TM 152671;CIE 03425;ET1 Pe 1.0632;ET2 Pe 1.0632;;;;;;;;CII 1719;;;;;;
TM 152672;CIE 03426;ET1 Pe 1.0633;ET2 Pe 1.0633;;;;;;;;CII 1579;;;;;;
TM 152673;CIE 03427;ET1 Pe 1.0634;ET2 Pe 1.0634;TLE 0597;;;;;;;CII 1770;;;;;;
TM 153050;CIE 03428;ET1 Pe 1.1011;ET2 Pe 1.1011;;;;;;;;CII 1597;;;;;;
TM 153276;CIE 03429;ET1 Pe 1.1237;ET2 Pe 1.1237;;;;;;;;CII 1595;;;;;;
TM 152939;CIE 03430;ET1 Pe 1.0900;ET2 Pe 1.0900;TLE 0595;;;;;;;CII 1939;;;;;;
TM 152811;CIE 03431;ET1 Pe 1.0772;ET2 Pe 1.0772;TLE 0577;;;;;;;;CII Suppl. III.0290 bis;;;;;
TM 145511;CIE 03432;ET1 Pe 8.0001;ET2 Pe 8.0001;TLE 0571;;;;;;;CII 1910;;;;;;
TM 152807;CIE 03433;ET1 Pe 1.0768;ET2 Pe 1.0768;;;;;;;;;CII Suppl. I.0278;;;;;
TM 152808;CIE 03434;ET1 Pe 1.0769;ET2 Pe 1.0769;;;;;;;;;CII Suppl. I.0279;;;;;
TM 152810;CIE 03435;ET1 Pe 1.0771;ET2 Pe 1.0771;;;;;;;;CII 1798;;;;;;
TM 153361;CIE 03436;ET1 Pe 8.0008;ET2 Pe 8.0008;;;;;;;;CII 1926;;;Multiple references. Common denominator: CII. (3);;;
TM 153360;CIE 03437;ET1 Pe 8.0007;ET2 Pe 8.0007;;;;;;;;CII 1926;;;Multiple references. Common denominator: CII. (3);;;
TM 153359;CIE 03438;ET1 Pe 8.0006;ET2 Pe 8.0006;;;;;;;;CII 1926;;;Multiple references. Common denominator: CII. (3);;;
TM 504748;CIE 03439;;;;;;;;;CIL XI.2046;;;;;;;
TM 152903;CIE 03440;ET1 Pe 1.0864;ET2 Pe 1.0864;;;;;;;;CII 1911;;;;;;
TM 152909;CIE 03441;ET1 Pe 1.0870;ET2 Pe 1.0870;;;;;;;;CII 1650;;;;;;
TM 152910;CIE 03442;ET1 Pe 1.0871;ET2 Pe 1.0871;TLE 0618;;;;;;;CII 1934 bis a;;;;;;
TM 152911;CIE 03443;ET1 Pe 1.0872;ET2 Pe 1.0872;;;;;;;;;CII Suppl. III.0287;;;;;
TM 152912;CIE 03444;ET1 Pe 1.0873;ET2 Pe 1.0873;;;;;;;;;CII Suppl. III.0288;;;;;
TM 152064;CIE 03445;ET1 Pe 1.0025;ET2 Pe 1.0025;;;;;;;;;CII Suppl. I.0289;;;;;
TM 152065;CIE 03446;ET1 Pe 1.0026;ET2 Pe 1.0026;;;;;;;;CII 1231;;;;;;
TM 152066;CIE 03447;ET1 Pe 1.0027;ET2 Pe 1.0027;;;;;;;;CII 1230;;;;;;
TM 152067;CIE 03448;ET1 Pe 1.0028;ET2 Pe 1.0028;;;;;;;;CII 1232;;;;;;
TM 152068;CIE 03449;ET1 Pe 1.0029;ET2 Pe 1.0029;;;;;;;;CII 1229;;;;;;
TM 152069;CIE 03450;ET1 Pe 1.0030;ET2 Pe 1.0030;;;;;;;CIL XI.2018;CII 1253;CII Suppl. I.0293;;;;;
TM 504721;CIE 03451;;;;;;;;;CIL XI.2020;CII 1255;;;;;;
TM 504720;CIE 03452;;;;;;;;;CIL XI.2019;CII 1254;;;;;;
TM 504722;CIE 03453;;;;;;;;;CIL XI.2021;CII 1256;;;;;;
TM 152070;CIE 03454;ET1 Pe 1.0031;ET2 Pe 1.0031;;;;;;;;;CII Suppl. I.0265;;;;;
TM 152071;CIE 03455;ET1 Pe 1.0032;ET2 Pe 1.0032;;;;;;;;;CII Suppl. I.0266;;;;;
TM 152072;CIE 03456;ET1 Pe 1.0033;ET2 Pe 1.0033;;;;;;;;;CII Suppl. I.0267;;;;;
TM 152073;CIE 03457;ET1 Pe 1.0034;ET2 Pe 1.0034;;;;;;;;CII 1857 bis b;;;;;;
TM 152074;CIE 03458;ET1 Pe 1.0035;ET2 Pe 1.0035;;;;;;;;CII 1310;;;;;;
TM 152075;CIE 03459;ET1 Pe 1.0036;ET2 Pe 1.0036;;;;;;;;CII 1311;;;;;;
TM 152076;CIE 03460;ET1 Pe 1.0037;ET2 Pe 1.0037;;;;;;;;CII 1312;;;;;;
TM 152077;CIE 03461;ET1 Pe 1.0038;ET2 Pe 1.0038;;;;;;;;;CII Suppl. I.0316;;;;;
TM 152078;CIE 03462;ET1 Pe 1.0039;ET2 Pe 1.0039;;;;;;;;CII 1859 bis;;CII App. 0886;;;;
TM 152079;CIE 03463;ET1 Pe 1.0040;ET2 Pe 1.0040;;;;;;;;CII 1614;;;;;;
TM 152080;CIE 03464;ET1 Pe 1.0041;ET2 Pe 1.0041;;;;;;;;;;;;;;
;CIE 03465;;;;;;;;;;;;;;In too poor a state to be read.;;
;CIE 03466;;;;;;;;;;;;;;In too poor a state to be read.;;
TM 152081;CIE 03467;ET1 Pe 1.0042;ET2 Pe 1.0042;;;;;;;;;;;;;;
TM 152082;CIE 03468;ET1 Pe 1.0043;ET2 Pe 1.0043;;;;;;;;;;;;;;
TM 509967;CIE 03469;;;;;;;;;CIL XI.7096;;;;;;;
TM 152083;CIE 03470;ET1 Pe 1.0044;ET2 Pe 1.0044;;;;;;;;;;;;;;
TM 152084;CIE 03471;ET1 Pe 1.0045;ET2 Pe 1.0045;;;;;;;;;;;;;;
TM 152085;CIE 03472;ET1 Pe 1.0046;ET2 Pe 1.0046;;;;;;;;;;;;;;
TM 152086;CIE 03473;ET1 Pe 1.0047;ET2 Pe 1.0047;;;;;;;;;;;;;;
TM 152087;CIE 03474;ET1 Pe 1.0048;ET2 Pe 1.0048;;;;;;;;;;;;;;
TM 152088;CIE 03475;ET1 Pe 1.0049;ET2 Pe 1.0049;;;;;;;;;;;;;;
TM 152089;CIE 03476;ET1 Pe 1.0050;ET2 Pe 1.0050;;;;;;;;;;;;;;
TM 152090;CIE 03477;ET1 Pe 1.0051;ET2 Pe 1.0051;;;;;;;;;;;;;;
TM 152091;CIE 03478;ET1 Pe 1.0052;ET2 Pe 1.0052;;;;;;;;;;;;;;
TM 152092;CIE 03479;ET1 Pe 1.0053;ET2 Pe 1.0053;;;;;;;;;;;;;;
TM 152093;CIE 03480;ET1 Pe 1.0054;ET2 Pe 1.0054;;;;;;;;;;;;;;
TM 152094;CIE 03481;ET1 Pe 1.0055;ET2 Pe 1.0055;;;;;;;;;;;;;;
TM 152095;CIE 03482;ET1 Pe 1.0056;ET2 Pe 1.0056;;;;;;;;;;;;;;
TM 152096;CIE 03483;ET1 Pe 1.0057;ET2 Pe 1.0057;;;;;;;;;;;;;;
TM 152097;CIE 03484;ET1 Pe 1.0058;ET2 Pe 1.0058;;;;;;;;;;;;;;
TM 152098;CIE 03485;ET1 Pe 1.0059;ET2 Pe 1.0059;;;;;;;;;;;;;;
TM 152099;CIE 03486;ET1 Pe 1.0060;ET2 Pe 1.0060;;;;;;;;;;;;;;
TM 152100;CIE 03487;ET1 Pe 1.0061;ET2 Pe 1.0061;;;;;;;;;;;;;;
TM 152101;CIE 03488;ET1 Pe 1.0062;ET2 Pe 1.0062;;;;;;;;;;;;;;
TM 152102;CIE 03489;ET1 Pe 1.0063;ET2 Pe 1.0063;;;;;;;;;;;;;;
TM 152103;CIE 03490;ET1 Pe 1.0064;ET2 Pe 1.0064;;;;;;;;;;;;;;
TM 152104;CIE 03491;ET1 Pe 1.0065;ET2 Pe 1.0065;;;;;;;;;;;;;;
TM 152105;CIE 03492;ET1 Pe 1.0066;ET2 Pe 1.0066;;;;;;;;;;;;;;
TM 152106;CIE 03493;ET1 Pe 1.0067;ET2 Pe 1.0067;;;;;;;;;;;;;;
TM 509968;CIE 03494;;;;;;;;;CIL XI.7097;;;;;;;
TM 152107;CIE 03495;ET1 Pe 1.0068;ET2 Pe 1.0068;;;;;;;;;;;;;;
TM 152108;CIE 03496;ET1 Pe 1.0069;ET2 Pe 1.0069;;;;;;;;;;;;;;
TM 152109;CIE 03497;ET1 Pe 1.0070;ET2 Pe 1.0070;;;;;;;;;;;;;;
TM 509969;CIE 03498;;;;;;;;;CIL XI.7098;;;;;;;
TM 152110;CIE 03499;ET1 Pe 1.0071;ET2 Pe 1.0071;;;;;;;;;;;;;;
TM 509970;CIE 03500;ET1 Pe 1.0072;ET2 Pe 1.0072;;;;;;;CIL XI.7099;;;;;;;
TM 509971;CIE 03501;;;;;;;;;CIL XI.7100;;;;;;;
TM 152112;CIE 03502;ET1 Pe 1.0073;ET2 Pe 1.0073;;;;;;;;;;;;;;
TM 152113;CIE 03503;ET1 Pe 1.0074;ET2 Pe 1.0074;;;;;;;;;;;;;;
TM 152114;CIE 03504;ET1 Pe 1.0075;ET2 Pe 1.0075;;;;;;;;;;;;;;
