entry,text,flags,shared_with_ciep,containment
2823,[a]u > tete - i -<>---> tn---,,0,
2824,l • teti . susinal,,0,
2825,larθia teti cainei,,1,0.83
2826,la<rt>ia . t<ee>nia • m<u>tus<a>,,0,
2827,laris i tetina - arn3al,ocr-fixed,0,
2828,larθ - te • la- -risal,ocr-fixed,0,
2829,af - tetina - hlial - ae,ocr?,1,0.53
2830,af - tetina i helial,ocr?,0,
2831,aule • tetina . lauχmsa<l> is<a>,,0,
2832,ae - tetina < marcnal •,,0,
2833,ltθ - tetina - marcnal,,0,
2834,a i tetina . a . peiswl,,1,0.44
2835,tinusi . tetinas lautni . larces,,0,
2836,tinusi laut,,1,1.00
2837,-rse [. lau]<t>ni lθ i tetinas,,0,
2838,larθia . tetinei . cum- -eresa,ocr-fixed,1,
2839,larθia,,1,0.43
2911,au - tite - nurziu,ocr?,0,
2912,sana . titi . nurziuni<a>,,0,
2913,arng [1] tite - panza,,0,
2914,larθi <•> [---] [---] <n>ei <•> lθ i panzas,,0,
2915,larti - titi sap in i,,0,
2916,sana titi secunia t ste 00 --,,0,
2917,hasti . titi • svenia • tiscusnalisa,ocr-fixed,0,
2918,vl • tite-------,,0,
2919,veliea 1 titi vetus,,0,
2920,veliea . titi • vetusa,,0,
2921,vel . titi aule,,0,
2922,vel t tite > aules,,0,
2923,vel • tite . hele,,0,
2924,sana . titia vipina,,1,0.43
2925,velia . vel[[si]] • titi[[al]] • vip<e>sa,,1,0.83
2926,vl • tite mulsu<n>a,,1,0.88
2927,ar . meluta . larθal - titial > clan .,,0,
2928,/ine 1 <m>elu<t>nal -,ocr?,0,
2929,vl - tite 1 s<vea> . maricanial >,ocr?,0,
2930,fasti 1 titlnei .,,0,
2932,/<e> • ti4ane,,0,
2933,aθ • ti-ile,ocr?,0,
2934,aθ > ti-ile 1 palpe i pulias,ocr?,1,0.95
2936,vel • tlapu > ae - vipinal - clan >,ocr-fixed,0,
2937,aθ 1 tlesna . vl t,,0,
2938,vl • tlesna . hermial,,0,
2939,lθ • tlesna lθ - arntnal,,0,
2940,<θ>ania • tlesn- -ei,,0,
2941,θania tle<s>nei piutes,,1,1.00
2942,vl - tlesna • cecnu • latinial,ocr-fixed,1,1.00
2943,9 • tl • la • vescusa,,0,
2944,sana . tlesnei • latinial vescusa -,,0,
2945,fasti 1 tlesnei < clatia umranasa,,0,
2946,sana • tlesnei • umrana,,1,0.89
3324,/- naper -,,1,
3325,arnθ aneis numnas,ocr-fixed,0,
3326,hermial • capznasl[a] man . seχis • capzna[s],ocr-fixed,0,
3327,ar • presnte • serturial,,1,1.00
3328,sana • serturi,,0,
3331,{l • scribonius,ocr?,0,
3333,fasti . cais • marχn<as> • au,,0,
3334,ftχna cais • etu ris .,,0,
3335,clan .,,0,
3336,la pet<r>ui - n,,0,
3350,la . tlapu • sauturin- -ial •,,0,
3351,velea • tlapus • sautur- -inial,,0,
3352,la tlapu se-- -,,0,
3353,se - cai . lacane la,,0,
3354,θana • petruni la veanes • puia,ocr-fixed,0,
3355,petvi • unial,,0,
3357,arnθ • uhtave • velχei,ocr?,0,
3358,<uht>av[e •] <v>elχ<e>[ ini] larθii<a> [• v] ip la c[asp- -res],ocr-fixed,0,
3359,uhtave velχeini larθiia vipis casp- -res,ocr-fixed,1,0.93
3360,aula • cusperiena,,0,
3361,cavla,,1,
3362,velχrei • caspres,,0,
3363,lari vusis,ocr?,0,
3364,vel vuis i auf- -les,,0,
3365,aule vu 1 s [ i ] s <l>a,,0,
3366,arnθ • vuis i . v • lau<tn> ete- -ri,ocr-fixed,1,
